COD;MUNI;cv_bcg;prop_populacao_com_renda_menosqmeio_SM;prop_populacao_pobreza_extrema;Renda_media_domic_per_capita;Taxa_de_analfabetismo;Taxa_de_desemprego_16a_emais;PIB_per_capita;Saneamento_inadequado;Taxa_urbanizacao;Gini;CoberturaESF;CoberturaAB;Inc_tb22;mort_tb22;prop_cont22;populacao_residente
110001;ALTA FLORESTA D'OESTE;114.41;48.42;7.7;306;12;5.01;13231.01;40.94;57.27;0.5893;90.22;90.22;4.441286087;4.441286087;40;22516
110002;ARIQUEMES;112.61;31.05;2.99;349;7.9;4.64;17566.27;14.46;84.7;0.5496;44.78;44.78;24.29193497;1.799402595;78.57142639;111148
110003;CABIXI;94.2;48.17;4;324;13.8;2.49;14828.03;31.14;42.66;0.5166;100;100;39.47108841;0;0;5067
110004;CACOAL;124.6;32.1;3.65;367;8.3;5.87;16480.36;18.56;78.81;0.589;68.71;89.9;17.3578968;0;84.21052551;86416
110005;CEREJEIRAS;110.78;36.99;4.17;401;10.4;5.24;18918.8;19.97;84.67;0.5147;84.54;84.54;18.64743996;0;100;16088
110006;COLORADO DO OESTE;170.44;40.26;4.15;339;12.9;6.32;12619.5;26.83;73.46;0.5154;86.89;86.89;13.14665127;0;100;15213
110007;CORUMBIARA;65.42;46.47;7.51;343;12;3.45;18667.54;51.94;29.49;0.4852;100;100;14.18037415;0;100;7052
110008;COSTA MARQUES;100;57.4;12.87;311;9.1;4.64;9439.74;38.56;54.81;0.5239;94.1;94.1;20.77382469;0;90;19255
110009;ESPIGAO D'OESTE;63.91;37.43;4.72;321;9.4;4.51;13303.62;26.59;71.74;0.5399;63.94;63.94;15.14738369;0;33.33333206;33009
110010;GUAJARA-MIRIM;70.98;46.22;8.22;210;9;6.84;16774.11;16.74;84.52;0.5586;97.13;100;53.27082825;4.261666298;100;46930
110011;JARU;93.61;34.24;4.18;361;10.6;5.16;19122.65;27.35;67.53;0.5081;100;100;23.31500435;1.942917109;100;51469
110012;JI-PARANA;120.25;28.65;2.31;350;7.6;5.61;18143.58;11.66;89.92;0.5449;77.58;77.58;30.5282917;0;89.88764191;131026
110013;MACHADINHO D'OESTE;77.01;52.78;11.9;251;12.7;3.64;11143.82;47.05;51.94;0.5596;69.02;69.02;26.36372375;4.793404102;100;41724
